Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
selnour/bench,gpt-5.4-nano-2026-03-17,,1,"2026-04-16 08:36:00",541,,,
selnour/bench,gpt-5.4-nano-2026-03-17,AGI_EF_Tasks__Basic,1,"2026-04-16 08:36:00",715,,,
selnour/bench,gpt-5.4-nano-2026-03-17,AGI_EF_Tasks__All__Sample10,1,"2026-04-16 06:13:34",367,,,
selnour/bench,deepseek-v3.2,,1,"2026-04-16 09:00:20",529.5,,,
selnour/bench,deepseek-v3.2,AGI_EF_Tasks__Basic,1,"2026-04-16 09:00:20",679,,,
selnour/bench,deepseek-v3.2,AGI_EF_Tasks__All__Sample10,1,"2026-04-16 06:56:03",380,,,
selnour/bench,gemma-4-31b-it,,1,"2026-04-16 08:39:35",528.5,,,
selnour/bench,gemma-4-31b-it,AGI_EF_Tasks__Basic,1,"2026-04-16 08:39:35",684,,,
selnour/bench,gemma-4-31b-it,AGI_EF_Tasks__All__Sample10,1,"2026-04-16 06:18:40",373,,,
selnour/bench,gemini-2.5-flash,,1,"2026-04-15 17:23:25",478.5,,,
selnour/bench,gemini-2.5-flash,AGI_EF_Tasks__Basic,1,"2026-04-15 13:20:47",602,,,
selnour/bench,gemini-2.5-flash,AGI_EF_Tasks__All__Sample10,1,"2026-04-15 17:23:25",355,,,
selnour/bench,glm-5,,1,"2026-04-16 08:38:14",464,,,
selnour/bench,glm-5,AGI_EF_Tasks__Basic,1,"2026-04-16 08:38:14",562,,,
selnour/bench,glm-5,AGI_EF_Tasks__All__Sample10,1,"2026-04-16 06:57:32",366,,,
selnour/bench,gemma-4-26b-a4b-it,,1,"2026-04-15 23:13:56",457.5,,,
selnour/bench,gemma-4-26b-a4b-it,AGI_EF_Tasks__Basic,1,"2026-04-15 23:13:56",676,,,
selnour/bench,gemma-4-26b-a4b-it,AGI_EF_Tasks__All__Sample10,1,"2026-04-15 21:42:49",239,,,
selnour/bench,gemini-3.1-flash-lite-preview,,1,"2026-04-15 23:07:13",374,,,
selnour/bench,gemini-3.1-flash-lite-preview,AGI_EF_Tasks__Basic,1,"2026-04-15 23:07:13",345,,,
selnour/bench,gemini-3.1-flash-lite-preview,AGI_EF_Tasks__All__Sample10,1,"2026-04-15 21:19:12",403,,,
selnour/bench,gemini-3.1-pro-preview,,1,"2026-04-16 09:03:59",297.5,,,
selnour/bench,gemini-3.1-pro-preview,AGI_EF_Tasks__Basic,1,"2026-04-16 09:03:59",311,,,
selnour/bench,gemini-3.1-pro-preview,AGI_EF_Tasks__All__Sample10,1,"2026-04-16 06:20:37",284,,,
selnour/bench,gpt-oss-20b,,1,"2026-04-16 09:00:19",244.5,,,
selnour/bench,gpt-oss-20b,AGI_EF_Tasks__Basic,1,"2026-04-16 09:00:19",337,,,
selnour/bench,gpt-oss-20b,AGI_EF_Tasks__All__Sample10,1,"2026-04-16 06:55:23",152,,,
selnour/bench,gpt-5.4-2026-03-05,,1,"2026-04-15 23:07:30",243.5,,,
selnour/bench,gpt-5.4-2026-03-05,AGI_EF_Tasks__Basic,1,"2026-04-15 23:07:30",188,,,
selnour/bench,gpt-5.4-2026-03-05,AGI_EF_Tasks__All__Sample10,1,"2026-04-15 21:19:13",299,,,
selnour/bench,gpt-oss-120b,,1,"2026-04-16 09:02:38",239.5,,,
selnour/bench,gpt-oss-120b,AGI_EF_Tasks__Basic,1,"2026-04-16 09:02:38",259,,,
selnour/bench,gpt-oss-120b,AGI_EF_Tasks__All__Sample10,1,"2026-04-16 06:56:16",220,,,
selnour/bench,gemma-3-4b-it,,1,"2026-04-15 23:07:16",83,,,
selnour/bench,gemma-3-4b-it,AGI_EF_Tasks__Basic,1,"2026-04-15 23:07:16",75,,,
selnour/bench,gemma-3-4b-it,AGI_EF_Tasks__All__Sample10,1,"2026-04-15 21:19:15",91,,,
